datetime,device,accx,accy,accz,gyrox,gyroy,gyroz,anglex,angley,anglez,magx,magy,magz
2024-06-18 15:31:47.380031,bearings,-0.0288,-0.0195,-0.9863,0.0,0.0,0.0,-178.901,1.708,-64.88,-3134,-1418,2872
2024-06-18 15:31:47.486773,bearings,-0.0298,-0.019,-0.9863,0.0,0.0,0.0,-178.901,1.708,-64.88,-3116,-1420,2885
2024-06-18 15:31:47.579297,bearings,-0.0298,-0.019,-0.9858,0.0,0.0,0.0,-178.901,1.714,-64.88,-3131,-1419,2870
2024-06-18 15:31:47.678916,bearings,-0.0298,-0.0195,-0.9858,0.0,0.0,0.0,-178.901,1.714,-64.88,-3143,-1413,2873
2024-06-18 15:31:47.779249,bearings,-0.0298,-0.0195,-0.9849,0.0,0.0,0.0,-178.901,1.708,-64.88,-3104,-1419,2893
2024-06-18 15:31:47.879942,bearings,-0.0293,-0.0181,-0.9849,0.0,0.0,0.0,-178.901,1.708,-64.88,-3121,-1417,2879
2024-06-18 15:31:47.978199,bearings,-0.0303,-0.0186,-0.9849,0.0,0.0,0.0,-178.901,1.708,-64.88,-3131,-1431,2877
2024-06-18 15:31:48.078078,bearings,-0.0293,-0.019,-0.9854,0.0,0.0,0.0,-178.901,1.708,-64.88,-3147,-1412,2872
2024-06-18 15:31:48.189915,bearings,-0.0303,-0.019,-0.9854,0.0,0.0,0.0,-178.901,1.708,-64.88,-3123,-1432,2873
2024-06-18 15:31:48.277618,bearings,-0.0293,-0.019,-0.9858,0.0,0.0,0.0,-178.907,1.708,-64.88,-3098,-1432,2866
2024-06-18 15:31:48.377135,bearings,-0.0293,-0.0171,-0.9863,0.0,0.0,0.0,-178.907,1.708,-64.88,-3116,-1434,2876
2024-06-18 15:31:48.488596,bearings,-0.0293,-0.019,-0.9858,0.0,0.0,0.0,-178.907,1.708,-64.88,-3115,-1426,2881
2024-06-18 15:31:48.576555,bearings,-0.0293,-0.0186,-0.9854,0.0,0.0,0.0,-178.907,1.708,-64.88,-3141,-1427,2892
2024-06-18 15:31:48.676250,bearings,-0.0288,-0.0195,-0.9854,0.0,0.0,0.0,-178.907,1.708,-64.88,-3140,-1440,2906
2024-06-18 15:31:48.776135,bearings,-0.0293,-0.0186,-0.9863,0.0,0.0,0.0,-178.907,1.708,-64.88,-3145,-1434,2882
2024-06-18 15:31:48.875744,bearings,-0.0303,-0.0195,-0.9854,0.0,0.0,0.0,-178.907,1.708,-64.88,-3117,-1424,2910
2024-06-18 15:31:48.975438,bearings,-0.0298,-0.0186,-0.9849,0.0,0.0,0.0,-178.907,1.708,-64.88,-3100,-1436,2893
2024-06-18 15:31:49.075191,bearings,-0.0288,-0.0181,-0.9858,0.0,0.0,0.0,-178.907,1.708,-64.88,-3119,-1431,2884
2024-06-18 15:31:49.174932,bearings,-0.0298,-0.0186,-0.9858,0.0,0.0,0.0,-178.907,1.703,-64.88,-3111,-1424,2882
2024-06-18 15:31:49.274737,bearings,-0.0288,-0.0195,-0.9854,0.0,0.0,0.0,-178.907,1.703,-64.88,-3138,-1440,2862
2024-06-18 15:31:49.374491,bearings,-0.0288,-0.0186,-0.9854,0.0,0.0,0.0,-178.907,1.703,-64.88,-3146,-1443,2851
2024-06-18 15:31:49.474218,bearings,-0.0293,-0.019,-0.9854,0.0,0.0,0.0,-178.907,1.703,-64.88,-3148,-1420,2887
2024-06-18 15:31:49.573914,bearings,-0.0298,-0.0186,-0.9849,0.0,0.0,0.0,-178.907,1.703,-64.88,-3141,-1414,2881
2024-06-18 15:31:49.673553,bearings,-0.0293,-0.019,-0.9868,0.0,0.0,0.0,-178.907,1.703,-64.88,-3094,-1417,2869
2024-06-18 15:31:49.773328,bearings,-0.0293,-0.0181,-0.9863,0.0,0.0,0.0,-178.907,1.703,-64.88,-3132,-1412,2880
2024-06-18 15:31:49.872958,bearings,-0.0293,-0.019,-0.9858,0.0,0.0,0.0,-178.907,1.703,-64.88,-3104,-1423,2882
2024-06-18 15:31:49.972716,bearings,-0.0288,-0.0186,-0.9854,0.0,0.0,0.0,-178.907,1.703,-64.88,-3112,-1429,2877
2024-06-18 15:31:50.072459,bearings,-0.0298,-0.019,-0.9854,0.0,0.0,0.0,-178.907,1.703,-64.88,-3106,-1427,2870
2024-06-18 15:31:50.172218,bearings,-0.0298,-0.0186,-0.9863,0.0,0.0,0.0,-178.907,1.703,-64.88,-3119,-1440,2885
2024-06-18 15:31:50.271993,bearings,-0.0298,-0.02,-0.9854,0.0,0.0,0.0,-178.907,1.703,-64.88,-3110,-1424,2880
2024-06-18 15:31:50.371777,bearings,-0.0293,-0.019,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3118,-1428,2880
2024-06-18 15:31:50.471528,bearings,-0.0303,-0.0195,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3096,-1435,2878
2024-06-18 15:31:50.574861,bearings,-0.0293,-0.0186,-0.9858,0.0,0.0,0.0,-178.907,1.703,-64.88,-3131,-1418,2865
2024-06-18 15:31:50.671302,bearings,-0.0298,-0.02,-0.9868,0.0,0.0,0.0,-178.907,1.703,-64.88,-3105,-1425,2880
2024-06-18 15:31:50.775011,bearings,-0.0303,-0.0186,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3103,-1437,2872
2024-06-18 15:31:50.870461,bearings,-0.0298,-0.0186,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3106,-1420,2885
2024-06-18 15:31:50.972100,bearings,-0.0298,-0.0186,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3148,-1434,2883
2024-06-18 15:31:51.069833,bearings,-0.0293,-0.019,-0.9868,0.0,0.0,0.0,-178.901,1.703,-64.88,-3136,-1428,2867
2024-06-18 15:31:51.169678,bearings,-0.0293,-0.0181,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3146,-1429,2868
2024-06-18 15:31:51.269303,bearings,-0.0303,-0.019,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3124,-1428,2878
2024-06-18 15:31:51.369005,bearings,-0.0293,-0.0186,-0.9868,0.0,0.0,0.0,-178.901,1.703,-64.88,-3121,-1427,2873
2024-06-18 15:31:51.468769,bearings,-0.0298,-0.0186,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3166,-1434,2871
2024-06-18 15:31:51.568412,bearings,-0.0293,-0.0195,-0.9854,0.0,0.0,0.0,-178.901,1.703,-64.88,-3160,-1407,2877
2024-06-18 15:31:51.668188,bearings,-0.0298,-0.0186,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3139,-1412,2873
2024-06-18 15:31:51.767932,bearings,-0.0293,-0.0195,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3150,-1428,2887
2024-06-18 15:31:51.867607,bearings,-0.0298,-0.019,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3156,-1424,2878
2024-06-18 15:31:51.967520,bearings,-0.0288,-0.0181,-0.9868,0.0,0.0,0.0,-178.901,1.703,-64.88,-3141,-1429,2867
2024-06-18 15:31:52.067042,bearings,-0.0298,-0.019,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3158,-1437,2890
2024-06-18 15:31:52.166937,bearings,-0.0303,-0.0195,-0.9854,0.0,0.0,0.0,-178.901,1.703,-64.88,-3158,-1423,2881
2024-06-18 15:31:52.266542,bearings,-0.0298,-0.0186,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3125,-1420,2867
2024-06-18 15:31:52.366230,bearings,-0.0298,-0.019,-0.9858,0.0,0.0,0.0,-178.896,1.703,-64.88,-3103,-1434,2890
2024-06-18 15:31:52.466085,bearings,-0.0298,-0.019,-0.9863,0.0,0.0,0.0,-178.896,1.703,-64.88,-3121,-1419,2884
2024-06-18 15:31:52.565815,bearings,-0.0298,-0.0186,-0.9858,0.0,0.0,0.0,-178.896,1.703,-64.88,-3138,-1426,2877
2024-06-18 15:31:52.665564,bearings,-0.0293,-0.019,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3170,-1432,2880
2024-06-18 15:31:52.765154,bearings,-0.0293,-0.019,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3133,-1427,2896
2024-06-18 15:31:52.864903,bearings,-0.0298,-0.0186,-0.9854,0.0,0.0,0.0,-178.901,1.703,-64.88,-3130,-1420,2878
2024-06-18 15:31:52.964640,bearings,-0.0303,-0.019,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3119,-1440,2886
2024-06-18 15:31:53.064513,bearings,-0.0303,-0.0195,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3127,-1436,2883
2024-06-18 15:31:53.164260,bearings,-0.0298,-0.0186,-0.9858,0.0,0.0,0.0,-178.896,1.708,-64.88,-3130,-1424,2880
2024-06-18 15:31:53.263874,bearings,-0.0288,-0.0195,-0.9863,0.0,0.0,0.0,-178.896,1.703,-64.88,-3136,-1418,2874
2024-06-18 15:31:53.363561,bearings,-0.0298,-0.0181,-0.9868,0.0,0.0,0.0,-178.896,1.703,-64.88,-3120,-1431,2902
2024-06-18 15:31:53.463347,bearings,-0.0298,-0.0195,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3105,-1425,2889
2024-06-18 15:31:53.563059,bearings,-0.0293,-0.02,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3095,-1433,2895
2024-06-18 15:31:53.662747,bearings,-0.0298,-0.0195,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3127,-1427,2894
2024-06-18 15:31:53.762561,bearings,-0.0293,-0.0181,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3115,-1435,2887
2024-06-18 15:31:53.862182,bearings,-0.0298,-0.0186,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3114,-1434,2877
2024-06-18 15:31:53.961934,bearings,-0.0288,-0.0186,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3139,-1427,2892
2024-06-18 15:31:54.061669,bearings,-0.0298,-0.0186,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3132,-1440,2885
2024-06-18 15:31:54.161389,bearings,-0.0298,-0.0195,-0.9858,0.0,0.0,0.0,-178.901,1.703,-64.88,-3143,-1423,2867
2024-06-18 15:31:54.261071,bearings,-0.0303,-0.019,-0.9863,0.0,0.0,0.0,-178.901,1.703,-64.88,-3134,-1421,2861
2024-06-18 15:31:54.360813,bearings,-0.0303,-0.0186,-0.9858,0.0,0.0,0.0,-178.901,1.708,-64.88,-3131,-1429,2897
2024-06-18 15:31:54.460575,bearings,-0.0298,-0.0195,-0.9858,0.0,0.0,0.0,-178.901,1.708,-64.88,-3136,-1425,2876
2024-06-18 15:31:54.560266,bearings,-0.0298,-0.019,-0.9858,0.0,0.0,0.0,-178.901,1.708,-64.88,-3144,-1419,2877
2024-06-18 15:31:54.660063,bearings,-0.0293,-0.019,-0.9854,0.0,0.0,0.0,-178.901,1.708,-64.88,-3114,-1428,2898
2024-06-18 15:31:54.759794,bearings,-0.0303,-0.0186,-0.9863,0.0,0.0,0.0,-178.901,1.708,-64.88,-3112,-1413,2899
2024-06-18 15:31:54.859503,bearings,-0.0293,-0.0195,-0.9863,0.0,0.0,0.0,-178.901,1.708,-64.88,-3126,-1423,2882
2024-06-18 15:31:54.959216,bearings,-0.0298,-0.0186,-0.9863,0.0,0.0,0.0,-178.901,1.708,-64.88,-3135,-1429,2877
2024-06-18 15:31:55.058968,bearings,-0.0298,-0.019,-0.9858,0.0,0.0,0.0,-178.901,1.708,-64.88,-3114,-1433,2872
2024-06-18 15:31:55.158843,bearings,-0.0288,-0.019,-0.9858,0.0,0.0,0.0,-178.901,1.708,-64.88,-3160,-1432,2872
2024-06-18 15:31:55.258489,bearings,-0.0298,-0.0186,-0.9858,0.0,0.0,0.0,-178.901,1.708,-64.88,-3189,-1426,2866
2024-06-18 15:31:55.358232,bearings,-0.0288,-0.0186,-0.9858,0.0,0.0,0.0,-178.901,1.708,-64.88,-3178,-1429,2899
