datetime,device,accx,accy,accz,gyrox,gyroy,gyroz,anglex,angley,anglez,magx,magy,magz
2024-06-18 15:31:44.180519,motor,-0.9971,-0.0083,0.0029,0.0,0.0,0.0,-72.164,89.539,15.397,307,30900,-31632
2024-06-18 15:31:44.279688,motor,-0.9976,-0.0063,0.0029,0.0,0.0,0.0,-72.01,89.539,15.397,301,30900,-31632
2024-06-18 15:31:44.379349,motor,-0.9976,-0.0073,0.0024,0.0,0.0,0.0,-71.829,89.539,15.397,310,30900,-31632
2024-06-18 15:31:44.479312,motor,-0.9976,-0.0068,0.0015,0.0,0.0,0.0,-71.62,89.539,15.397,315,30900,-31632
2024-06-18 15:31:44.578933,motor,-0.9966,-0.0073,0.0015,0.0,0.0,0.0,-71.548,89.539,15.397,320,30900,-31632
2024-06-18 15:31:44.678817,motor,-0.9976,-0.0073,0.002,0.0,0.0,0.0,-71.51,89.539,15.397,317,30900,-31632
2024-06-18 15:31:44.778601,motor,-0.9971,-0.0078,0.0024,0.0,0.0,0.0,-71.439,89.539,15.397,305,30900,-31632
2024-06-18 15:31:44.883464,motor,-0.9971,-0.0078,0.0024,0.0,0.0,0.0,-71.428,89.539,15.397,307,30900,-31632
2024-06-18 15:31:44.978577,motor,-0.9971,-0.0078,0.0029,0.0,0.0,0.0,-71.378,89.539,15.403,302,30900,-31632
2024-06-18 15:31:45.078135,motor,-0.9971,-0.0078,0.0024,0.0,0.0,0.0,-71.23,89.539,15.403,302,30900,-31632
2024-06-18 15:31:45.177808,motor,-0.9966,-0.0068,0.0024,0.0,0.0,0.0,-71.098,89.539,15.403,303,30900,-31632
2024-06-18 15:31:45.283479,motor,-0.9966,-0.0078,0.0029,0.0,0.0,0.0,-70.961,89.539,15.403,309,30900,-31632
2024-06-18 15:31:45.377370,motor,-0.9971,-0.0083,0.0034,0.0,0.0,0.0,-70.796,89.533,15.408,317,30900,-31632
2024-06-18 15:31:45.477270,motor,-0.999,-0.0078,0.0024,0.0,0.0,0.0,-70.609,89.533,15.408,306,30900,-31632
2024-06-18 15:31:45.577031,motor,-0.9976,-0.0088,0.0034,0.0,0.0,0.0,-70.384,89.533,15.414,316,30900,-31632
